,Year,Award,Winner
1208,2006,Actress (Featured Role – Play),Frances de la Tour
1209,2006,Book (Musical),Bob Martin and Don McKellar
1210,2006,Choreographer,Kathleen Marshall
1211,2006,Costume Design (Musical),Gregg Barnes
1212,2006,Costume Design (Play),Catherine Zuber
1213,2006,Director (Musical),John Doyle
1214,2006,Director (Play),Nicholas Hytner
1215,2006,Lighting Design (Musical),Howell Binkley
1216,2006,Lighting Design (Play),Mark Henderson
1217,2006,Musical,Jersey Boys
1218,2006,Orchestrations,Sarah Travis
1219,2006,Original Musical Score,The Drowsy Chaperone<br/>Music &amp; Lyrics: Lisa Lambert and Greg Morrison
1220,2006,Play,The History Boys
1221,2006,Regional Theatre Tony Award,Intiman Theatre
1222,2006,Revival (Musical),The Pajama Game
1223,2006,Revival (Play),Awake and Sing!
1224,2006,Scenic Design (Musical),David Gallo
1225,2006,Scenic Design (Play),Bob Crowley
1226,2006,Special Tony Award,Sarah Jones
1227,2006,Special Tony Award for Lifetime Achievement in the Theatre,Harold Prince
1228,2006,Tony Honor,BMI Lehman Engel Musical Theatre Workshop
1229,2007,Actor (Musical),David Hyde Pierce
1230,2007,Actor (Play),Frank Langella
1231,2007,Actress (Musical),Christine Ebersole
1232,2007,Actress (Play),Julie White
1233,2007,Actor (Featured Role – Musical),John Gallagher
1234,2007,Actor (Featured Role – Play),Billy Crudup
1235,2007,Actress (Featured Role – Musical),Mary Louise Wilson
1236,2007,Actress (Featured Role – Play),Jennifer Ehle
1237,2007,Book (Musical),Steven Sater
1238,2007,Choreographer,Bill T
1239,2007,Costume Design (Musical),William Ivey Long
1240,2007,Costume Design (Play),Catherine Zuber
1241,2007,Director (Musical),Michael Mayer
1242,2007,Director (Play),Jack O'Brien
1243,2007,Lighting Design (Musical),Kevin Adams
1244,2007,Lighting Design (Play),Brian MacDevitt
1245,2007,Musical,Spring Awakening
1246,2007,Orchestrations,Duncan Sheik
1247,2007,Original Musical Score,Spring Awakening<br/>Music: Duncan Sheik<br/>Lyrics: Steven Sater
1248,2007,Play,The Coast of Utopia
1249,2007,Regional Theatre Tony Award,Alliance Theatre
1250,2007,Revival (Musical),Company
1251,2007,Revival (Play),Journey's End
1252,2007,Scenic Design (Musical),Bob Crowley
1253,2007,Scenic Design (Play),Bob Crowley &amp; Scott Pask
1254,2007,Special Theatrical Event,Jay Johnson: The Two and Only
1255,2007,Tony Honor,Gemze De Lappe
1256,2008,Actor (Musical),Paulo Szot
1257,2008,Actor (Play),Mark Rylance
1258,2008,Actress (Musical),Patti LuPone
1259,2008,Actress (Play),Deanna Dunagan
1260,2008,Actor (Featured Role – Musical),Boyd Gaines
1261,2008,Actor (Featured Role – Play),Jim Norton
1262,2008,Actress (Featured Role – Musical),Laura Benanti
1263,2008,Actress (Featured Role – Play),Rondi Reed
1264,2008,Book (Musical),Stew
1265,2008,Choreographer,Andy Blankenbuehler
1266,2008,Costume Design (Musical),Catherine Zuber
1267,2008,Costume Design (Play),Katrina Lindsay
1268,2008,Director (Musical),Bartlett Sher
1269,2008,Director (Play),Anna D
1270,2008,Lighting Design (Musical),Donald Holder
1271,2008,Lighting Design (Play),Kevin Adams
1272,2008,Musical,In The Heights
1273,2008,Orchestrations,Alex Lacamoire &amp; Bill Sherman
1274,2008,Original Musical Score,In The Heights<br/>Music &amp; Lyrics:  Lin-Manuel Miranda
1275,2008,Play,August: Osage County
1276,2008,Regional Theatre Tony Award,Chicago Shakespeare Theater
1277,2008,Revival (Musical),Rodgers &amp; Hammerstein's South Pacific
1278,2008,Revival (Play),Boeing-Boeing
1279,2008,Scenic Design (Musical),Michael Yeargan
1280,2008,Scenic Design (Play),Todd Rosenthal
1281,2008,Sound Design (Musical),Scott Lehrer
1282,2008,Sound Design (Play),Mic Pool
1283,2008,Special Tony Award,Robert Russell Bennett (1894-1981)
1284,2008,Special Tony Award for Lifetime Achievement in the Theatre,Stephen Sondheim
1285,2009,Actor (Musical),David Alvarez
1286,2009,Actor (Play),Geoffrey Rush
1287,2009,Actress (Musical),Alice Ripley
1288,2009,Actress (Play),Marcia Gay Harden
1289,2009,Actor (Featured Role – Musical),Gregory Jbara
1290,2009,Actor (Featured Role – Play),Roger Robinson
1291,2009,Actress (Featured Role – Musical),Karen Olivo
1292,2009,Actress (Featured Role – Play),Angela Lansbury
1293,2009,Book (Musical),Lee Hall
1294,2009,Choreographer,Peter Darling
1295,2009,Costume Design (Musical),Tim Hatley
1296,2009,Costume Design (Play),Anthony Ward
1297,2009,Director (Musical),Stephen Daldry
1298,2009,Director (Play),Matthew Warchus
1299,2009,Isabelle Stevenson Tony Award,Phyllis Newman
1300,2009,Lighting Design (Musical),Rick Fisher
1301,2009,Lighting Design (Play),Brian MacDevitt
1302,2009,Musical,Billy Elliot
1303,2009,Orchestrations,Martin Koch
1304,2009,Original Musical Score,Michael Starobin and Tom Kitt
1305,2009,Play,Next to Normal<br/>Music: Tom Kitt<br/>Lyrics: Brian Yorkey
1306,2009,Regional Theatre Tony Award,God of Carnage
1307,2009,Revival (Musical),Signature Theatre
1308,2009,Revival (Play),Hair
1309,2009,Scenic Design (Musical),The Norman Conquests
1310,2009,Scenic Design (Play),Ian MacNeil
1311,2009,Sound Design (Musical),Derek McLane
1312,2009,Sound Design (Play),Paul Arditti
1313,2009,Special Theatrical Event,Gregory Clarke
1314,2009,Special Tony Award for Lifetime Achievement in the Theatre,Liza's at The Palace
1315,2009,Tony Honor,Jerry Herman
1316,2010,Actor (Musical),Douglas Hodge
1317,2010,Actor (Play),Denzel Washington
1318,2010,Actress (Musical),Catherine Zeta-Jones
1319,2010,Actress (Play),Viola Davis
1320,2010,Actor (Featured Role – Musical),Levi Kreis
1321,2010,Actor (Featured Role – Play),Eddie Redmayne
1322,2010,Actress (Featured Role – Musical),Katie Finneran
1323,2010,Actress (Featured Role – Play),Scarlett Johansson
1324,2010,Book (Musical),Joe DiPietro
1325,2010,Choreographer,Bill T
1326,2010,Costume Design (Musical),Marina Draghici
1327,2010,Costume Design (Play),Catherine Zuber
1328,2010,Director (Musical),Terry Johnson
1329,2010,Director (Play),Michael Grandage
1330,2010,Isabelle Stevenson Tony Award,David Hyde Pierce
1331,2010,Lighting Design (Musical),Kevin Adams
1332,2010,Lighting Design (Play),Neil Austin
1333,2010,Musical,Memphis
1334,2010,Orchestrations,Daryl Waters &amp; David Bryan
1335,2010,Original Musical Score,Memphis<br/>Music: David Bryan<br/>Lyrics: Joe DiPietro
1336,2010,Play,Red
1337,2010,Regional Theatre Tony Award,The Eugene O'Neill Theater Center
1338,2010,Revival (Musical),La Cage aux Folles
1339,2010,Revival (Play),Fences
1340,2010,Scenic Design (Musical),Christine Jones
1341,2010,Scenic Design (Play),Christopher Oram
1342,2010,Sound Design (Musical),Robert Kaplowitz
1343,2010,Sound Design (Play),Adam Cork
1344,2010,Special Tony Award for Lifetime Achievement in the Theatre,Alan Ayckbourn
1345,2010,Tony Honor,Marian Seldes
1346,2011,Actor (Musical),Norbert Leo Butz
1347,2011,Actor (Play),Mark Rylance
1348,2011,Actress (Musical),Sutton Foster
1349,2011,Actress (Play),Frances McDormand
1350,2011,Actor (Featured Role – Musical),John Larroquette
1351,2011,Actor (Featured Role – Play),John Benjamin Hickey
1352,2011,Actress (Featured Role – Musical),Nikki M
1353,2011,Actress (Featured Role – Play),Ellen Barkin
1354,2011,Book (Musical),Trey Parker
1355,2011,Choreographer,Kathleen Marshall
1356,2011,Costume Design (Musical),Tim Chappel &amp; Lizzy Gardiner
1357,2011,Costume Design (Play),Desmond Heeley
1358,2011,Director (Musical),Casey Nicholaw and Trey Parker
1359,2011,Director (Play),Marianne Elliott and Tom Morris
1360,2011,Isabelle Stevenson Tony Award,Eve Ensler
1361,2011,Lighting Design (Musical),Brian MacDevitt
1362,2011,Lighting Design (Play),Paule Constable
1363,2011,Musical,The Book of Mormon
1364,2011,Orchestrations,Larry Hochman &amp; Stephen Oremus
1365,2011,Original Musical Score,The Book of Mormon<br/>Music &amp; Lyrics: Trey Parker
1366,2011,Play,War Horse
1367,2011,Regional Theatre Tony Award,Lookingglass Theatre Company
1368,2011,Revival (Musical),Anything Goes
1369,2011,Revival (Play),The Normal Heart
1370,2011,Scenic Design (Musical),Scott Pask
1371,2011,Scenic Design (Play),Rae Smith
1372,2011,Sound Design (Musical),Brian Ronan
1373,2011,Sound Design (Play),Christopher Shutt
1374,2011,Special Tony Award,Handspring Puppet Company
1375,2011,Special Tony Award for Lifetime Achievement in the Theatre,Athol Fugard
1376,2011,Tony Honor,Philip J
1377,2012,Actor (Musical),Steve Kazee
1378,2012,Actor (Play),James Corden
1379,2012,Actress (Musical),Audra McDonald
1380,2012,Actress (Play),Nina Arianda
1381,2012,Actor (Featured Role – Musical),Michael McGrath
1382,2012,Actor (Featured Role – Play),Christian Borle
1383,2012,Actress (Featured Role – Musical),Judy Kaye
1384,2012,Actress (Featured Role – Play),Judith Light
1385,2012,Book (Musical),Enda Walsh
1386,2012,Choreographer,Christopher Gattelli
1387,2012,Costume Design (Musical),Gregg Barnes
1388,2012,Costume Design (Play),Paloma Young
1389,2012,Director (Musical),John Tiffany
1390,2012,Director (Play),Mike Nichols
1391,2012,Isabelle Stevenson Tony Award,Bernadette Peters
1392,2012,Lighting Design (Musical),Natasha Katz
1393,2012,Lighting Design (Play),Jeff Croiter
1394,2012,Musical,Once
1395,2012,Orchestrations,Martin Lowe
1396,2012,Original Musical Score,Newsies<br/>Music: Alan Menken<br/>Lyrics: Jack Feldman
1397,2012,Play,Clybourne Park
1398,2012,Regional Theatre Tony Award,Shakespeare Theatre Company
1399,2012,Revival (Musical),The Gershwins' Porgy and Bess
1400,2012,Revival (Play),Arthur Miller's Death of a Salesman
1401,2012,Scenic Design (Musical),Bob Crowley
1402,2012,Scenic Design (Play),Donyale Werle
1403,2012,Sound Design (Musical),Clive Goodwin
1404,2012,Sound Design (Play),Darron L West
1405,2012,Special Tony Award,Actors' Equity Association and Hugh Jackman
1406,2012,Special Tony Award for Lifetime Achievement in the Theatre,Emanuel Azenberg
1407,2012,Tony Honor,Freddie Gershon
1408,2013,Actor (Musical),Billy Porter
1409,2013,Actor (Play),Tracy Letts
1410,2013,Actress (Musical),Patina Miller
1411,2013,Actress (Play),Cicely Tyson
1412,2013,Actor (Featured Role – Musical),Gabriel Ebert
1413,2013,Actor (Featured Role – Play),Courtney B
1414,2013,Actress (Featured Role – Musical),Andrea Martin
1415,2013,Actress (Featured Role – Play),Judith Light
1416,2013,Book (Musical),Dennis Kelly
1417,2013,Choreographer,Jerry Mitchell
1418,2013,Costume Design (Musical),William Ivey Long
1419,2013,Costume Design (Play),Ann Roth
1420,2013,Director (Musical),Diane Paulus
1421,2013,Director (Play),Pam MacKinnon
1422,2013,Isabelle Stevenson Tony Award,Larry Kramer
1423,2013,Lighting Design (Musical),Hugh Vanstone
1424,2013,Lighting Design (Play),Jules Fisher &amp; Peggy Eisenhauer
1425,2013,Musical,Kinky Boots
1426,2013,Orchestrations,Stephen Oremus
1427,2013,Original Musical Score,Kinky Boots<br/>Music &amp; Lyrics: Cyndi Lauper
1428,2013,Play,Vanya and Sonia and Masha and Spike
1429,2013,Regional Theatre Tony Award,Huntington Theatre Company
1430,2013,Revival (Musical),Pippin
1431,2013,Revival (Play),Who's Afraid of Virginia Woolf?
1432,2013,Scenic Design (Musical),Rob Howell
1433,2013,Scenic Design (Play),John Lee Beatty
1434,2013,Sound Design (Musical),John Shivers
1435,2013,Sound Design (Play),Leon Rothenberg
1436,2013,Special Tony Award for Lifetime Achievement in the Theatre,Bernard Gersten
1437,2013,Tony Honor,Paul Libin
1438,2014,Actor (Musical),Neil Patrick Harris
1439,2014,Actor (Play),Bryan Cranston
1440,2014,Actress (Musical),Jessie Mueller
1441,2014,Actress (Play),Audra McDonald
1442,2014,Actor (Featured Role – Musical),James Monroe Iglehart
1443,2014,Actor (Featured Role – Play),Mark Rylance
1444,2014,Actress (Featured Role – Musical),Lena Hall
1445,2014,Actress (Featured Role – Play),Sophie Okonedo
1446,2014,Book (Musical),Robert L
1447,2014,Choreographer,Warren Carlyle
1448,2014,Costume Design (Musical),Linda Cho
1449,2014,Costume Design (Play),Jenny Tiramani
1450,2014,Director (Musical),Darko Tresnjak
1451,2014,Director (Play),Kenny Leon
1452,2014,Isabelle Stevenson Tony Award,Rosie O'Donnell
1453,2014,Lighting Design (Musical),Kevin Adams
1454,2014,Lighting Design (Play),Natasha Katz
1455,2014,Musical,A Gentleman's Guide to Love &amp; Murder
1456,2014,Orchestrations,Jason Robert Brown
1457,2014,Original Musical Score,The Bridges of Madison County<br/>Music &amp; Lyrics: Jason Robert Brown
1458,2014,Play,All The Way<br/>Author: Robert Schenkkan<br/>Producers: Jeffrey Richards
1459,2014,Regional Theatre Tony Award,Signature Theatre
1460,2014,Revival (Musical),Hedwig and the Angry Inch
1461,2014,Revival (Play),A Raisin in the Sun
1462,2014,Scenic Design (Musical),Christopher Barreca
1463,2014,Scenic Design (Play),Beowulf Boritt
1464,2014,Sound Design (Musical),Brian Ronan
1465,2014,Sound Design (Play),Steve Canyon Kennedy
1466,2014,Special Tony Award for Lifetime Achievement in the Theatre,Jane Greenwood
1467,2014,Tony Honor,Joseph P
1468,2015,Actor (Musical),Michael Cerveris
1469,2015,Actor (Play),Alex Sharp
1470,2015,Actress (Musical),Kelli O'Hara
1471,2015,Actress (Play),Helen Mirren
1472,2015,Actor (Featured Role – Musical),Christian Borle
1473,2015,Actor (Featured Role – Play),Richard McCabe
1474,2015,Actress (Featured Role – Musical),Ruthie Ann Miles
1475,2015,Actress (Featured Role – Play),Annaleigh Ashford
1476,2015,Book (Musical),Lisa Kron
1477,2015,Choreographer,Christopher Wheeldon
1478,2015,Costume Design (Musical),Catherine Zuber
1479,2015,Costume Design (Play),Christopher Oram
1480,2015,Director (Musical),Sam Gold
1481,2015,Director (Play),Marianne Elliott
1482,2015,Isabelle Stevenson Tony Award,Stephen Schwartz
1483,2015,Lighting Design (Musical),Natasha Katz
1484,2015,Lighting Design (Play),Paule Constable
1485,2015,Musical,Fun Home
1486,2015,Orchestrations,Christopher Austin
1487,2015,Original Musical Score,Fun Home<br/>Music: Jeanine Tesori<br/>Lyrics: Lisa Kron
1488,2015,Play,The Curious Incident of the Dog in the Night-Time<br/>Author: Simon Stephens<br/>Producers: Stuart Thompson
1489,2015,Regional Theatre Tony Award,Cleveland Play House
1490,2015,Revival (Musical),The King and I
1491,2015,Revival (Play),Skylight
1492,2015,Scenic Design (Musical),Bob Crowley
1493,2015,Scenic Design (Play),Bunny Christie
1494,2015,Special Tony Award,John Cameron Mitchell
1495,2015,Special Tony Award for Lifetime Achievement in the Theatre,Tommy Tune
1496,2015,Tony Honor,Arnold Abramson
1497,2016,Actor (Musical),Leslie Odom
1498,2016,Actor (Play),Frank Langella
1499,2016,Actress (Musical),Cynthia Erivo
1500,2016,Actress (Play),Jessica Lange
1501,2016,Actor (Featured Role – Musical),Daveed Diggs
1502,2016,Actor (Featured Role – Play),Reed Birney
1503,2016,Actress (Featured Role – Musical),Renée Elise Goldsberry
1504,2016,Actress (Featured Role – Play),Jayne Houdyshell
1505,2016,Book (Musical),Lin-Manuel Miranda
1506,2016,Choreographer,Andy Blankenbuehler
1507,2016,Costume Design (Musical),Paul Tazewell
1508,2016,Costume Design (Play),Clint Ramos
1509,2016,Director (Musical),Thomas Kail
1510,2016,Director (Play),Ivo Van Hove
1511,2016,Isabelle Stevenson Tony Award,Brian Stokes Mitchell
1512,2016,Lighting Design (Musical),Howell Binkley
1513,2016,Lighting Design (Play),Natasha Katz
1514,2016,Musical,Hamilton
1515,2016,Orchestrations,Alex Lacamoire
1516,2016,Original Musical Score,Hamilton<br/>Music &amp; Lyrics: Lin-Manuel Miranda
1517,2016,Play,The Humans<br/>Author: Stephen Karam<br/>Producers: Scott Rudin
1518,2016,Regional Theatre Tony Award,Paper Mill Playhouse Millburn
1519,2016,Revival (Musical),The Color Purple
1520,2016,Revival (Play),Arthur Miller's A View from the Bridge
1521,2016,Scenic Design (Musical),David Rockwell
1522,2016,Scenic Design (Play),David Zinn
1523,2016,Special Tony Award,National Endowment for the Arts
1524,2016,Special Tony Award for Lifetime Achievement in the Theatre,Miles Wilkin
1525,2016,Tony Honor,Sheldon Harnick
1526,2017,Actor (Musical),Ben Platt
1527,2017,Actor (Play),Kevin Kline
1528,2017,Actress (Musical),Bette Midler
1529,2017,Actress (Play),Laurie Metcalf
1530,2017,Actor (Featured Role – Musical),Gavin Creel
1531,2017,Actor (Featured Role – Play),Michael Aronov
1532,2017,Actress (Featured Role – Musical),Rachel Bay Jones
1533,2017,Actress (Featured Role – Play),Cynthia Nixon
1534,2017,Book (Musical),Steven Levenson
1535,2017,Choreographer,Andy Blankenbuehler
1536,2017,Costume Design (Musical),Santo Loquasto
1537,2017,Costume Design (Play),Jane Greenwood
1538,2017,Director (Musical),Christopher Ashley
1539,2017,Director (Play),Rebecca Taichman
1540,2017,Isabelle Stevenson Tony Award,Baayork Lee
1541,2017,Lighting Design (Musical),Bradley King
1542,2017,Lighting Design (Play),Christopher Akerlind
1543,2017,Musical,Dear Evan Hansen
1544,2017,Orchestrations,Alex Lacamoire
1545,2017,Original Musical Score,Dear Evan Hansen<br/>Music &amp; Lyrics: Benj Pasek &amp; Justin Paul
1546,2017,Play,Oslo<br/>Author: J
1547,2017,Regional Theatre Tony Award,Dallas Theater Center<br/>Dallas
1548,2017,Revival (Musical),Hello
1549,2017,Revival (Play),August Wilson's Jitney
1550,2017,Scenic Design (Musical),Mimi Lien
1551,2017,Scenic Design (Play),Nigel Hook
1552,2017,Special Tony Award,Gareth Fry &amp; Pete Malkin
1553,2017,Special Tony Award for Lifetime Achievement in the Theatre,James Earl Jones
1554,2017,Tony Honor,Nina Lannan
1555,2018,Actor (Musical),Tony Shalhoub
1556,2018,Actor (Play),Andrew Garfield
1557,2018,Actress (Musical),Katrina Lenk
1558,2018,Actress (Play),Glenda Jackson
1559,2018,Actor (Featured Role – Musical),Ari'el Stachel
1560,2018,Actor (Featured Role – Play),Nathan Lane
1561,2018,Actress (Featured Role – Musical),Lindsay Mendez
1562,2018,Actress (Featured Role – Play),Laurie Metcalf
1563,2018,Book (Musical),Itamar Moses
1564,2018,Choreographer,Justin Peck
1565,2018,Costume Design (Musical),Catherine Zuber
1566,2018,Costume Design (Play),Katrina Lindsay
1567,2018,Director (Musical),David Cromer
1568,2018,Director (Play),John Tiffany
1569,2018,Isabelle Stevenson Tony Award,Nick Scandalios
1570,2018,Lighting Design (Musical),Tyler Micoleau
1571,2018,Lighting Design (Play),Neil Austin
1572,2018,Musical,The Band's Visit
1573,2018,Orchestrations,Jamshied Sharifi
1574,2018,Original Musical Score,The Band's Visit<br/>Music &amp; Lyrics: David Yazbek
1575,2018,Play,Harry Potter and the Cursed Child
1576,2018,Regional Theatre Tony Award,La MaMa E
1577,2018,Revival (Musical),Once On This Island
1578,2018,Revival (Play),Angels in America
1579,2018,Scenic Design (Musical),David Zinn
1580,2018,Scenic Design (Play),Christine Jones
1581,2018,Sound Design (Musical),Kai Harada
1582,2018,Sound Design (Play),Gareth Fry
1583,2018,Special Tony Award,John Leguizamo
1584,2018,Special Tony Award for Lifetime Achievement in the Theatre,Bruce Springsteen
1585,2018,Tony Honor,Chita Rivera
1586,2019,Best Play,The Ferryman
1587,2019,Best Musical,Hadestown
1588,2019,Best Book of a Musical,Tootsie
1589,2019,Best Original Score (Music and,Hadestown
1590,2019,Best Revival of a Play,The Boys in the Band
1591,2019,Best Revival of a Musical,Rodgers &amp; Hammerstein’s Oklahoma!
1592,2019,Best Performance by an Actor in a Leading Role in a Play,Bryan Cranston
1593,2019,Best Performance by an Actress in a Leading Role in a Play,Elaine May
1594,2019,Best Performance by an Actor in a Leading Role in a Musical,Santino Fontana
1595,2019,Best Performance by an Actress in a Leading Role in a Musical,Stephanie J
1596,2019,Best Performance by an Actor in a Featured Role in a Play,Bertie Carvel
1597,2019,Best Performance by an Actress in a Featured Role in a Play,Celia Keenan-Bolger
1598,2019,Best Performance by an Actor in a Featured Role in a Musical,André De Shields
1599,2019,Best Performance by an Actress in a Featured Role in a Musical,Ali Stroker
1600,2019,Best Scenic Design of a Play,Rob Howell
1601,2019,Best Scenic Design of a Musical,Rachel Hauck
1602,2019,Best Costume Design of a Play,Rob Howell
1603,2019,Best Costume Design of a Musical,Bob Mackie
1604,2019,Best Lighting Design of a Play,Neil Austin
1605,2019,Best Lighting Design of a Musical,Bradley King
1606,2019,Best Sound Design of a Play,Fitz Patton
1607,2019,Best Sound Design of a Musical,Nevin Steinberg and Jessica Paz
1608,2019,Best Direction of a Play,Sam Mendes
1609,2019,Best Direction of a Musical,Rachel Chavkin
1610,2019,Best Choreography,Sergio Trujillo
1611,2019,Best Orchestrations,Michael Chorney and Todd Sickafoose
1612,2019,Special Tony Award for Lifetime Achievement in the Theatre,Rosemary Harris
1613,2019,Special Tony Award,Terrence McNally
1614,2019,Isabelle Stevenson Tony Award,Harold Wheeler
1615,2019,Regional Theatre Tony Award,Marin Mazzie
1616,2019,Tony Honors for Excellence in the Theatre,Sonny Tilders and Creature Technology Company
